index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891fad39d93ffff	h3place				11.01799	50.8821	9.0		50.8821021887734	11.017994496439643
1	891fad3acabffff	h3place				11.03876	50.96439	9.0		50.96439476963099	11.03876330559539
2	891fad31237ffff	h3place				11.0274	50.97857	9.0		50.97856669713852	11.027401009679517
3	891fad3aab3ffff	h3place				11.04195	50.93444	9.0		50.93444354060857	11.041950707232862
4	891fad3a5cbffff	h3place				10.96393	50.97336	9.0		50.973355975409426	10.963927522092368
5	891fad312afffff	h3place				11.02469	50.98086	9.0		50.98086162129099	11.024692943868788
6	891fad399b7ffff	h3place				11.05425	50.8649	9.0		50.86490353933953	11.054253807317561
7	891fad3b02fffff	h3place				10.91401	50.91133	9.0		50.91132773945127	10.914012417902224
8	891fad3a1c7ffff	h3place				10.98994	50.96039	9.0		50.96039484019242	10.989941946216968
9	891fad33157ffff	h3place				11.03243	51.04689	9.0		51.04689180194819	11.032428278960404
10	891fad310d3ffff	h3place				11.01279	51.00002	9.0		51.00001594957036	11.012792298340349
11	891fad31453ffff	h3place				10.99707	51.00879	9.0		51.00878883734448	10.997069580427075
12	891fad3b117ffff	h3place				10.93515	50.92063	9.0		50.920631822827474	10.935147761399593
13	891fad3143bffff	h3place				11.01661	51.01039	9.0		51.01039099911103	11.016610568340612
14	891fad05b33ffff	h3place				10.90481	50.95085	9.0		50.95085278613888	10.904813968574906
15	891fad31393ffff	h3place				11.04099	50.98974	9.0		50.989743095109795	11.04098978007294
16	891fad3131bffff	h3place				11.04205	50.97976	9.0		50.97976443879079	11.042052625646086
17	891fad30da7ffff	h3place				11.20956	51.05118	9.0		51.0511788683057	11.209562120870206
18	891fad3322bffff	h3place				11.00035	51.02415	9.0		51.02414882027671	11.000351170617018
19	891fad356a3ffff	h3place				11.24255	51.01861	9.0		51.018609407709164	11.242552863086646
20	891fad3a977ffff	h3place				11.09024	50.94341	9.0		50.94341418941584	11.090240379834817
21	891fad39137ffff	h3place				10.97031	50.86811	9.0		50.86810544826022	10.970307586794704
22	891fad3ac0bffff	h3place				11.02953	50.95861	9.0		50.9586055087965	11.0295298319562
23	891fad30a4bffff	h3place				11.15338	50.99887	9.0		50.9988689067043	11.153382508166574
24	891fad06a73ffff	h3place				10.90321	51.03374	9.0		51.033739058237835	10.903208849699208
25	891fad32c97ffff	h3place				11.13747	51.10318	9.0		51.103182364034765	11.137471758822512
26	891fad331bbffff	h3place				11.04385	51.05537	9.0		51.05536716959038	11.043852604691832
27	891fad31317ffff	h3place				11.04911	50.98286	9.0		50.9828574819742	11.049113547997418
28	891fad37073ffff	h3place				11.24549	51.0616	9.0		51.06159755652648	11.245492651806304
29	891fad314c3ffff	h3place				10.99653	51.01378	9.0		51.01377554267457	10.996534848616477
30	891fad3136bffff	h3place				11.048	50.97018	9.0		50.970183060165716	11.04799869421102
31	891fad332bbffff	h3place				10.9944	51.03372	9.0		51.03371865978816	10.994395165761487
32	891fad3128bffff	h3place				11.00733	50.98196	9.0		50.981956129707285	11.007334049788218
33	891fad31003ffff	h3place				11.02798	50.99623	9.0		50.996227708229426	11.027979726604379
34	891fad312b3ffff	h3place				11.01928	50.98545	9.0		50.985450973228765	11.01927637320607
35	891fad3a903ffff	h3place				11.08483	50.94801	9.0		50.94801014214339	11.084829484956401
36	891fad32117ffff	h3place				11.10645	51.09313	9.0		51.09313300162401	11.106446671780269
37	891fad314cbffff	h3place				10.99436	51.01108	9.0		51.011081732301335	10.994359698986893
38	891fad06b47ffff	h3place				10.93252	51.03616	9.0		51.03616485699681	10.93251633779608
39	891fad3b103ffff	h3place				10.93298	50.91793	9.0		50.91793410606713	10.932978496265376
40	891fad04bb3ffff	h3place				10.96613	50.9987	9.0		50.99869830179441	10.96612624866687
41	891fad30edbffff	h3place				11.1285	51.02453	9.0		51.02453008798621	11.128495807468452
42	891fad22573ffff	h3place				11.2185	50.98901	9.0		50.98900712088549	11.218504168407232
43	891fad3152fffff	h3place				11.05841	51.01129	9.0		51.011291320701886	11.058409009024206
44	891fad3a92bffff	h3place				11.09512	50.94381	9.0		50.94381088976199	11.095123337127637
45	891fad31597ffff	h3place				11.04215	51.02506	9.0		51.02505600416062	11.042154677060923
46	891fad31a47ffff	h3place				11.09572	50.96148	9.0		50.96148293466358	11.09571914623078
47	891fad3ad93ffff	h3place				11.05994	50.97367	9.0		50.97367434842715	11.059943188335358
48	891fad3aca7ffff	h3place				11.04582	50.96749	9.0		50.96748842827842	11.045822417912182
49	891fad3b1c7ffff	h3place				10.92539	50.91983	9.0		50.91982541298259	10.92539402841082
50	891fad3127bffff	h3place				11.01111	50.96968	9.0		50.96968258440362	11.0111095110471
51	891fad31013ffff	h3place				11.02527	50.99852	9.0		50.99852196304867	11.025270984575048
52	891fad31193ffff	h3place				11.05623	51.0086	9.0		51.008598206982924	11.056230940989693
53	891fad3a187ffff	h3place				10.99917	50.96619	9.0		50.96618660157722	10.999170739683569
54	891fad3ac17ffff	h3place				11.03388	50.964	9.0		50.963995663912904	11.033880441526408
55	891fad313c3ffff	h3place				11.03446	50.98166	9.0		50.98166055745287	11.03446070044196
56	891fad06d6bffff	h3place				10.93417	51.06647	9.0		51.06646542514291	10.934165806553358
57	891fad33147ffff	h3place				11.03514	51.0446	9.0		51.04459922489076	11.035138758360956
58	891fad39c5bffff	h3place				10.97572	50.86351	9.0		50.86350976462429	10.975717084836646
59	891fad38bc3ffff	h3place				11.07976	50.87958	9.0		50.87958382451272	11.07975672964643
60	891fad3a1a7ffff	h3place				11.01164	50.96469	9.0		50.964692452626466	11.01164289211358
61	891fad3a18bffff	h3place				10.99212	50.96309	9.0		50.963090414819256	10.992115295752189
62	891fad31463ffff	h3place				11.01226	51.005	9.0		51.00500353728062	11.012258725897867
63	891fad3a5dbffff	h3place				10.96122	50.97565	9.0		50.975649310584856	10.961218327982264
64	891fad312b7ffff	h3place				11.02416	50.98585	9.0		50.985850784402416	11.024160344782686
65	891fad332a7ffff	h3place				11.00417	51.03452	9.0		51.03452060755007	11.00416869804505
66	891fad311cbffff	h3place				11.04752	50.99782	9.0		50.99782456771159	11.047520567367282
67	891fad3306bffff	h3place				11.00635	51.03721	9.0		51.03721350295302	11.006345057725191
68	891fad3a537ffff	h3place				10.99322	50.97577	9.0		50.97576506363422	10.993219571447364
69	891fad2a08bffff	h3place				11.0905	50.84769	9.0		50.84768668793415	11.09050104503117
70	891fad2a0c7ffff	h3place				11.08833	50.84499	9.0		50.84498847437216	11.088326540595368
71	891fad3a5c7ffff	h3place				10.97098	50.97645	9.0		50.97645337271263	10.970981867736079
72	891fad3116bffff	h3place				11.06324	50.98904	9.0		50.98904217040076	11.063237939424049
73	891fad3b067ffff	h3place				10.90697	50.90823	9.0		50.90822545205096	10.906969002894893
74	891fad234cbffff	h3place				11.10436	50.9496	9.0		50.94959673672811	11.104362979687648
75	891fad2005bffff	h3place				11.21111	50.91791	9.0		50.917912002206805	11.211111358757698
76	891fad04d1bffff	h3place				10.95096	51.02512	9.0		51.025115328803366	10.95096038080624
77	891fad21613ffff	h3place				11.12367	50.88315	9.0		50.88314794989768	11.123666295027602
78	891fad391afffff	h3place				10.9676	50.8704	9.0		50.870403042174416	10.967602619260708
79	891fad319d7ffff	h3place				11.13924	50.99269	9.0		50.992694430345175	11.139242495341774
80	891fad2a437ffff	h3place				11.09162	50.86038	9.0		50.860383743720945	11.091621885642223
81	891fad210bbffff	h3place				11.16489	50.889	9.0		50.8889985392771	11.164887289253631
82	891fad2256fffff	h3place				11.22391	50.98441	9.0		50.98440682811039	11.223912583876587
83	891fad3acc7ffff	h3place				11.02412	50.9632	9.0		50.96319686086463	11.024115198369175
84	891fad31283ffff	h3place				11.00951	50.98465	9.0		50.984650759133714	11.009508915914276
85	891fad2287bffff	h3place				11.28839	50.95682	9.0		50.95682499856915	11.288385105703309
86	891fad3a3b7ffff	h3place				10.99372	50.94812	9.0		50.9481183672971	10.993719015099435
87	891fad31277ffff	h3place				11.01817	50.97278	9.0		50.97277756888915	11.018167064756485
88	891fad3a3d7ffff	h3place				10.97203	50.94382	9.0		50.943817387775006	10.972026076150282
89	891fad23467ffff	h3place				11.12713	50.94389	9.0		50.94388786794723	11.12712906744099
90	891fad300dbffff	h3place				11.07531	51.03782	9.0		51.0378181494776	11.075310947849017
91	891fad3b3d7ffff	h3place				10.90751	50.90323	9.0		50.90323250687964	10.907509131413782
92	891fad3124bffff	h3place				11.00134	50.96888	9.0		50.96888186511632	11.001344717188744
93	891fad315d3ffff	h3place				11.02803	51.01887	9.0		51.018871125968644	11.028026155505616
94	891fad069dbffff	h3place				10.93471	51.06148	9.0		51.06148352533935	10.934705277851206
95	891fad3aa4bffff	h3place				11.02402	50.91787	9.0		50.91786702720546	11.024024993775404
96	891fad3a8d7ffff	h3place				11.04036	50.94942	9.0		50.94942081989191	11.040357343874497
97	891fad2107bffff	h3place				11.15887	50.87591	9.0		50.87591168698442	11.158872197744433
98	891fad370c3ffff	h3place				11.23248	51.0681	9.0		51.06809904975115	11.232476583603974
99	891fad316b7ffff	h3place				11.0052	51.00191	9.0		51.00190915927526	11.005198346564391
100	891fad3106bffff	h3place				11.02904	50.98625	9.0		50.986250398302396	11.029044478229226
101	891fad3a8a7ffff	h3place				11.06477	50.95141	9.0		50.95141268279147	11.064769047582924
102	891fad3a893ffff	h3place				11.04471	50.95481	9.0		50.954811320630704	11.044708426644748
103	891fad38203ffff	h3place				10.97087	50.88579	9.0		50.885792198777374	10.970870751375532
104	891fad3134fffff	h3place				11.04041	50.97208	9.0		50.972080009886454	11.040407777833613
105	891fad313c7ffff	h3place				11.03934	50.98206	9.0		50.982059729607826	11.039344821330657
106	891fad3a437ffff	h3place				10.95905	50.97295	9.0		50.97295377104967	10.959046082634753
107	891fad21563ffff	h3place				11.17901	50.89518	9.0		50.89517620442464	11.179010109370576
108	891fadad34bffff	h3place				11.14237	51.10358	9.0		51.10357794311011	11.142367251251285
109	891fad31e6fffff	h3place				11.08707	50.97337	9.0		50.973366023378674	11.087072687461546
110	891fad30447ffff	h3place				11.06936	51.04739	9.0		51.04739132736619	11.069362136530035
111	891fad0694fffff	h3place				10.94556	51.05233	9.0		51.05232552613033	10.945556805185518
112	891fad04867ffff	h3place				10.94877	50.99978	9.0		50.99978302365306	10.948766498831745
113	891fad310c7ffff	h3place				11.02039	50.99812	9.0		50.99812213255383	11.020386091774277
114	891fad38a6bffff	h3place				11.05913	50.8653	9.0		50.865301306580314	11.059130284081942
115	891fad05903ffff	h3place				10.91024	50.96892	9.0		50.968920895745434	10.91024064539317
116	891fad04ba7ffff	h3place				10.97372	50.99681	9.0		50.99680764789969	10.973719595717817
117	891fada9a37ffff	h3place				10.98197	51.08046	9.0		51.08045714695696	10.98197405011962
118	891fad3546bffff	h3place				11.24963	51.02169	9.0		51.021690591217386	11.249632862207289
119	891fad38667ffff	h3place				10.96005	50.89498	9.0		50.89497890791655	10.960047307762185
120	891fad3a913ffff	h3place				11.08212	50.95031	9.0		50.950307870522366	11.082123817874743
121	891fad3ac03ffff	h3place				11.03171	50.9613	9.0		50.96130064545697	11.03170504195687
122	891fad3885bffff	h3place				11.05919	50.88799	9.0		50.887988607582805	11.059186771993641
123	891fad3122fffff	h3place				11.02793	50.97358	9.0		50.973576955191504	11.027933327974194
124	891fad3a1c3ffff	h3place				10.98506	50.95999	9.0		50.95999376319766	10.985060701369164
125	891fada9b17ffff	h3place				11.00371	51.08475	9.0		51.08475455123816	11.003711304685341
126	891fad31617ffff	h3place				10.99596	50.99612	9.0		50.99612002072062	10.995964058687024
